open_time,open,high,low,close,volume,status
1668232800000,16695.2,16867.6,16670.0,16811.3,31475.157,0
1668240000000,16811.4,16897.0,16716.6,16852.4,31575.115,0
1668247200000,16853.0,16975.0,16779.2,16859.6,28812.071,0
1668254400000,16859.6,16912.8,16746.7,16833.1,22423.673,0
1668261600000,16833.1,16996.0,16791.8,16925.4,36062.502,0
1668268800000,16925.5,16957.9,16851.0,16884.5,16610.078,0
1668276000000,16884.4,16894.2,16820.0,16885.4,14632.949,0
1668283200000,16885.3,16889.3,16752.7,16812.0,16060.891,0
1668290400000,16812.1,16849.8,16752.3,16806.9,11587.258,0
1668297600000,16806.9,16899.9,16771.0,16869.9,13790.898,0
1668304800000,16869.9,16950.0,16847.6,16906.1,15136.136,0
1668312000000,16905.8,16914.1,16829.3,16850.8,10057.755,0
1668319200000,16850.9,16857.9,16550.0,16765.5,50214.465,0
1668326400000,16765.4,16786.2,16413.8,16534.1,52326.834,0
1668333600000,16534.0,16722.9,16501.1,16651.8,31238.067,0
1668340800000,16651.8,16700.0,16582.3,16662.8,22950.385,0
1668348000000,16662.9,16710.2,16512.6,16568.4,29132.309,0
1668355200000,16568.4,16616.1,16458.7,16546.3,27044.145,0
1668362400000,16546.3,16572.3,16455.2,16547.6,19330.549,0
1668369600000,16547.6,16578.8,16210.3,16382.9,49296.866,0
1668376800000,16382.9,16475.0,16265.0,16321.2,29224.427,0
1668384000000,16321.3,16399.5,15969.1,16081.1,67578.047,-1
1668391200000,16081.2,16220.0,15900.0,16130.0,55040.517,-1
1668398400000,16130.0,16138.0,15805.5,15854.8,63864.959,-1
1668405600000,15854.9,16894.5,15836.5,16813.0,170806.614,0
1668412800000,16813.1,16921.6,16635.0,16744.1,73883.735,0
1668420000000,16744.0,16880.0,16701.0,16740.8,34519.202,0
1668427200000,16740.9,17188.0,16492.0,16716.3,142982.99,0
1668434400000,16716.4,16797.6,16405.2,16582.7,103278.165,0
1668441600000,16582.6,16617.1,16350.0,16573.7,61515.663,0
1668448800000,16573.6,16666.0,16165.6,16245.0,62561.463,0
1668456000000,16245.1,16410.0,16182.3,16396.6,45866.262,0
1668463200000,16396.6,16760.1,16345.9,16605.2,52494.867,0
1668470400000,16605.3,16794.8,16516.7,16705.0,39896.85,0
1668477600000,16705.1,16882.1,16671.1,16808.8,33963.618,0
1668484800000,16809.0,16843.1,16628.0,16647.8,31105.019,0
1668492000000,16647.7,16931.8,16646.0,16834.9,46399.181,0
1668499200000,16834.9,16992.0,16726.9,16788.0,57876.712,0
1668506400000,16788.0,16965.2,16695.0,16774.5,55065.094,0
1668513600000,16774.6,17127.2,16720.0,17002.6,91615.801,0
1668520800000,17002.7,17079.0,16800.1,16978.0,82033.01,0
1668528000000,16977.7,17060.8,16907.3,16987.2,50590.905,0
1668535200000,16987.3,17001.0,16606.0,16847.4,93796.484,0
1668542400000,16847.4,16931.1,16728.2,16896.3,46315.122,0
1668549600000,16896.6,16900.0,16825.4,16888.3,20691.662,0
1668556800000,16888.3,16924.3,16756.7,16848.8,25349.525,0
1668564000000,16848.9,17007.4,16814.1,16959.8,30425.825,0
1668571200000,16959.7,16969.0,16867.2,16911.7,18281.485,0
1668578400000,16911.8,16928.3,16786.8,16814.0,35602.821,0
1668585600000,16814.1,16840.6,16660.0,16736.1,53551.181,0
1668592800000,16736.1,16769.4,16634.7,16695.2,42093.968,0
1668600000000,16695.2,16709.2,16434.6,16505.0,108955.795,0
1668607200000,16504.9,16571.0,16358.0,16424.1,85075.676,0
